#"Progress (%)","Speed (ns/day)","Elapsed Time (s)","Time Remaining"
5.0%,0,3.981590270996094e-05,--
10.0%,231,0.3734405040740967,0:06
15.0%,221,0.7830228805541992,0:06
20.0%,216,1.1986143589019775,0:06
25.0%,214,1.6165778636932373,0:06
30.0%,219,1.9708642959594727,0:05
35.0%,218,2.379525661468506,0:05
40.0%,217,2.7909936904907227,0:04
45.0%,219,3.1581757068634033,0:04
50.0%,218,3.573380470275879,0:03
55.0%,216,4.000416040420532,0:03
60.0%,214,4.440231561660767,0:03
65.0%,216,4.794594049453735,0:02
70.0%,215,5.2167744636535645,0:02
75.0%,214,5.643981456756592,0:02
80.0%,216,6.008641719818115,0:01
85.0%,215,6.424919366836548,0:01
90.0%,215,6.8403685092926025,0:00
95.0%,214,7.2587363719940186,0:00
