#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
500,1.0000000000000007,-823125.6896398519,8223.557746968538,-814902.1318928833,18.537816415971815,642.3514316286332,0.8238544983117607
1000,2.0000000000000013,-829744.7492101644,7506.195558034291,-822238.5536521301,16.920714795067536,642.3514316286332,0.8238544983117607
1500,2.999999999999891,-831020.3927648519,8707.505488769071,-822312.8872760829,19.628747454393665,642.3514316286332,0.8238544983117607
2000,3.999999999999781,-831706.7882726644,9156.559490122774,-822550.2287825416,20.641019866662084,642.3514316286332,0.8238544983117607
2500,4.999999999999671,-830533.1007726644,10954.354801434252,-819578.7459712302,24.693669639428933,642.3514316286332,0.8238544983117607
3000,5.999999999999561,-829527.0558507894,12612.803759124146,-816914.2520916653,28.43220024368574,642.3514316286332,0.8238544983117607
3500,6.999999999999451,-828123.8595617269,14547.197842203808,-813576.6617195231,32.792775494889135,642.3514316286332,0.8238544983117607
4000,7.999999999999341,-826274.7521398519,16681.358395726696,-809593.3937441253,37.60367094436781,642.3514316286332,0.8238544983117607
4500,8.999999999999675,-825509.5470617269,17980.03267455573,-807529.5143871711,40.53118554398886,642.3514316286332,0.8238544983117607
5000,10.000000000000009,-823046.6847570394,20677.03814999623,-802369.6466070432,46.610864670096674,642.3514316286332,0.8238544983117607
5500,11.000000000000343,-822346.2179601644,21868.18167476402,-800478.0362854004,49.29597988015994,642.3514316286332,0.8238544983117607
6000,12.000000000000677,-819885.3117101644,24704.33645965939,-795180.975250505,55.689333991286794,642.3514316286332,0.8238544983117607
6500,13.00000000000101,-819001.1671789144,26147.31236464058,-792853.8548142739,58.94213809898251,642.3514316286332,0.8238544983117607
7000,14.000000000001345,-816751.5675695394,28659.9468389467,-788091.6207305928,64.60620200396318,642.3514316286332,0.8238544983117607
7500,15.000000000001679,-815802.3263586019,30592.018192783602,-785210.3081658183,68.96154128192833,642.3514316286332,0.8238544983117607
8000,16.00000000000201,-814020.3556554769,32624.833165036238,-781395.5224904406,73.54398016334186,642.3514316286332,0.8238544983117607
8500,17.000000000001457,-812599.7296789144,34669.85653317327,-777929.8731457412,78.15393961536512,642.3514316286332,0.8238544983117607
9000,18.000000000000902,-810314.6173742269,37199.67004633761,-773114.9473278893,83.8567290790827,642.3514316286332,0.8238544983117607
9500,19.000000000000348,-806278.3204992269,41587.610482502554,-764690.7100167244,93.74816983412946,642.3514316286332,0.8238544983117607
