#"Progress (%)","Speed (ns/day)","Elapsed Time (s)","Time Remaining"
1.1%,0,3.62396240234375e-05,--
2.2%,269,32.12885022163391,47:07
3.3%,269,64.25168061256409,46:34
4.4%,268,96.62516117095947,46:09
5.6%,268,129.07599139213562,45:42
6.7%,267,161.52012467384338,45:13
7.8%,267,194.01168727874756,44:43
8.9%,267,226.66669082641602,44:15
10.0%,267,259.29789447784424,43:45
11.1%,266,292.0030891895294,43:15
12.2%,266,324.8290801048279,42:46
13.3%,266,357.5398738384247,42:15
14.4%,266,390.4749188423157,41:45
15.6%,265,423.20250844955444,41:14
16.7%,265,456.15504360198975,40:43
17.8%,265,489.03009390830994,40:12
18.9%,265,522.2596366405487,39:42
20.0%,264,555.5961399078369,39:13
21.1%,264,589.3059973716736,38:44
22.2%,264,622.6886501312256,38:14
23.3%,263,655.8885612487793,37:42
24.4%,263,689.0579359531403,37:11
25.6%,263,722.1416580677032,36:39
26.7%,263,755.4220685958862,36:07
27.8%,263,789.0614199638367,35:37
28.9%,263,822.1844112873077,35:04
30.0%,263,855.2163836956024,34:32
31.1%,263,888.42307305336,34:00
32.2%,263,921.3265807628632,33:27
33.3%,263,952.9277265071869,32:51
34.4%,263,984.7939603328705,32:16
35.6%,263,1016.8114333152771,31:42
36.7%,264,1048.992496728897,31:08
37.8%,264,1081.0651347637177,30:34
38.9%,264,1113.3478775024414,30:01
40.0%,264,1145.5936527252197,29:27
41.1%,264,1177.6266479492188,28:53
42.2%,264,1209.4557936191559,28:19
43.3%,264,1241.4352934360504,27:46
44.4%,265,1273.4251759052277,27:12
45.6%,265,1305.17116522789,26:38
46.7%,265,1337.2372026443481,26:05
47.8%,265,1369.2990369796753,25:32
48.9%,265,1401.3184792995453,24:59
50.0%,265,1433.2840852737427,24:25
51.1%,265,1465.4512224197388,23:52
52.2%,265,1497.6558771133423,23:19
53.3%,265,1529.754671573639,22:47
54.4%,265,1562.0530259609222,22:14
55.6%,266,1594.5169687271118,21:41
56.7%,266,1626.9298694133759,21:09
57.8%,266,1659.3147039413452,20:36
58.9%,266,1691.5057361125946,20:03
60.0%,266,1723.8197600841522,19:30
61.1%,266,1756.1349139213562,18:58
62.2%,266,1788.3319318294525,18:25
63.3%,266,1820.4885694980621,17:52
64.4%,266,1852.6072492599487,17:20
65.6%,266,1884.7436218261719,16:47
66.7%,266,1916.832005739212,16:14
67.8%,266,1949.1032886505127,15:42
68.9%,266,1981.3080854415894,15:09
70.0%,266,2013.7144575119019,14:36
71.1%,266,2047.883999824524,14:05
72.2%,266,2081.866863489151,13:33
73.3%,265,2115.584240913391,13:01
74.4%,265,2149.4576513767242,12:29
75.6%,265,2183.205730199814,11:56
76.7%,265,2217.0888044834137,11:24
77.8%,265,2250.9023933410645,10:52
78.9%,265,2284.645441055298,10:20
80.0%,265,2318.432021379471,9:47
81.1%,264,2352.3260793685913,9:15
82.2%,264,2386.6375823020935,8:43
83.3%,264,2420.551865339279,8:10
84.4%,264,2454.392856359482,7:38
85.6%,264,2488.4915647506714,7:05
86.7%,264,2522.642396211624,6:33
87.8%,264,2556.9458861351013,6:00
88.9%,263,2591.0083107948303,5:27
90.0%,263,2625.125655889511,4:55
91.1%,263,2659.1118638515472,4:22
92.2%,263,2693.0571846961975,3:49
93.3%,263,2727.0438702106476,3:17
94.4%,263,2760.9843575954437,2:44
95.6%,263,2794.979655981064,2:11
96.7%,263,2829.0774869918823,1:38
97.8%,263,2862.8437662124634,1:05
98.9%,263,2895.960343837738,0:32
100.0%,262,2929.5028533935547,0:00
