#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
50000,99.99999999994834,-834382.1864775126,44530.118108085415,-789852.0683694272,100.38126804344891,504.9903566462315,1.0479489548252507
100000,200.00000000022686,-836940.1418510247,44515.69849556504,-792424.4433554597,100.34876287501488,502.9630386744804,1.0521729744573773
150000,300.00000000070435,-837803.6492731683,44243.36801351367,-793560.2812596547,99.73486647687717,503.00825816457194,1.0520783860989937
200000,400.00000000118183,-839296.3040080136,44426.61265052145,-794869.6913574921,100.1479426106605,502.3947639992169,1.0533631207292475
250000,500.0000000016593,-840036.827848604,44456.98929291815,-795579.8385556858,100.21641864468498,502.4024003096846,1.0533471100417584
300000,599.9999999996356,-840746.5779761882,44313.6815352908,-796432.8964408974,99.89336954797746,502.1786943306199,1.053816345493615
350000,699.999999997271,-840556.9137178897,44323.24961044092,-796233.6641074488,99.91493822008322,502.12849152977714,1.0539217060397899
400000,799.9999999949063,-840556.7011807575,44205.3078297583,-796351.3933509992,99.64906994927631,501.7501162880529,1.054716479906972
450000,899.9999999925416,-841239.9741282635,44203.85188062764,-797036.1222476359,99.64578790049333,500.80774762338643,1.056701137224053
500000,999.9999999901769,-841310.0799113065,43880.713318398586,-797429.3665929079,98.9173582441525,500.03749118633465,1.058328876878245
550000,1099.9999999878123,-828940.3826991352,54918.2585531513,-774022.124145984,123.79855851544102,501.23587369892476,1.055798565531492
600000,1199.9999999854476,-830180.0222159368,55709.306891247776,-774470.715324689,125.58176589587167,501.00531763398754,1.0562844301602048
650000,1299.999999983083,-830825.5804150561,55483.831229858566,-775341.7491851975,125.07349118731942,500.1791277217728,1.0580291881724049
700000,1399.9999999807183,-832163.4122353583,55498.739485529746,-776664.6727498285,125.10709787133847,499.8256526170469,1.0587774230341696
750000,1499.9999999783536,-832159.9731005309,55600.30341523505,-776559.6696852959,125.33604664768234,500.48866917564453,1.0573748199252975
800000,1599.9999999759889,-832697.4343542713,55806.45546441139,-776890.9788898599,125.8007614291668,499.88322293071434,1.0586554862586348
850000,1699.9999999736242,-833279.5398957101,55669.78594891427,-777609.7539467958,125.49267647787194,500.27016891733825,1.0578366437269848
900000,1799.9999999712595,-833629.5153251272,55709.75823736162,-777919.7570877655,125.58278333523987,499.574018927475,1.059310725526492
950000,1899.9999999688948,-833903.2478410224,55233.336998048886,-778669.9108429735,124.50881878816719,499.478396384253,1.0595135250597059
1000000,1999.9999999665301,-834388.9265219388,55285.06073104837,-779103.8657908904,124.62541614130751,499.853850748774,1.0587176944851153
1050000,2099.9999999641655,-820470.1362525169,66443.27234316351,-754026.8639093534,149.77862655953632,500.2387505540574,1.05790308299409
1100000,2199.9999999618008,-820901.6761977132,66522.9954735756,-754378.6807241377,149.95834108227206,498.22330715980405,1.0621825772484543
