,RMSD_6eqe_1
0,0.0
1,0.10461516
2,0.11119894
3,0.11298413
4,0.11428967
5,0.121422894
6,0.12611662
7,0.12556158
8,0.1255169
9,0.12624995
10,0.1291109
11,0.13043287
12,0.12370858
13,0.13052079
14,0.11920032
15,0.12477548
16,0.12993747
17,0.13346784
18,0.13538875
19,0.13401295
20,0.12999044
21,0.13176672
22,0.12220136
23,0.13005513
24,0.14599872
25,0.13772029
26,0.13291472
27,0.14078465
28,0.12970775
29,0.13278809
30,0.13332643
31,0.13679542
32,0.13231885
33,0.12794471
34,0.12971757
35,0.13802904
36,0.14072852
37,0.143601
38,0.14406356
39,0.13853782
40,0.14350511
41,0.13695744
42,0.13745536
43,0.14175004
44,0.14203209
45,0.15994792
46,0.14939529
47,0.142224
48,0.14056358
49,0.13540757
50,0.13586238
51,0.1384329
52,0.14124562
53,0.14468506
54,0.13737187
55,0.13321166
56,0.1422007
57,0.14484707
58,0.14123116
59,0.1487712
60,0.14356904
61,0.14317967
62,0.14405826
63,0.14847963
64,0.14929117
65,0.15530992
66,0.14769123
67,0.15536243
68,0.15317968
69,0.1486049
70,0.14545295
71,0.14643803
72,0.1512555
73,0.15309311
74,0.15041049
75,0.15259443
76,0.145502
77,0.14842811
78,0.14660679
79,0.14436229
80,0.1499131
81,0.14838517
82,0.14707896
83,0.15492044
84,0.14994541
85,0.16000529
86,0.15094846
87,0.14745459
88,0.1531314
89,0.14912032
90,0.15252928
91,0.15195832
92,0.15206563
93,0.1520254
94,0.15244569
95,0.14722101
96,0.15448873
97,0.15216954
98,0.13964842
99,0.15283147
100,0.1491545
101,0.14381918
102,0.15258776
103,0.15886532
104,0.15616922
105,0.15203379
106,0.14752544
107,0.14921603
108,0.14593759
109,0.14899035
110,0.15512434
111,0.14809284
112,0.14858088
113,0.15339252
114,0.15546085
115,0.14597951
116,0.1461767
117,0.1550849
118,0.15512763
119,0.14845215
120,0.1495573
121,0.14792061
122,0.15336926
123,0.15592583
124,0.14616972
125,0.15353538
126,0.14966123
127,0.14840235
128,0.1445511
129,0.15076259
130,0.14586945
131,0.14788097
132,0.15237042
133,0.15267126
134,0.15821896
135,0.15192813
136,0.14808767
137,0.15542148
138,0.15327616
139,0.15240723
140,0.15037489
141,0.15172161
142,0.14864092
143,0.14940383
144,0.15169808
145,0.14755481
146,0.14819609
147,0.14481363
148,0.14653723
149,0.14148183
150,0.14465687
151,0.15062895
152,0.15260948
153,0.15194994
154,0.14175723
155,0.14553529
156,0.14484178
157,0.15213436
158,0.15022565
159,0.1515535
160,0.14701137
161,0.14321528
162,0.14944476
163,0.14142597
164,0.15031725
165,0.14687778
166,0.15008813
167,0.14757381
168,0.15033421
169,0.14753582
170,0.15464705
171,0.14665894
172,0.14664331
173,0.14180218
174,0.14496316
175,0.15460089
176,0.15389855
177,0.15065603
178,0.15258609
179,0.1465581
180,0.1495573
181,0.14918868
182,0.15023074
183,0.15420797
184,0.15388861
185,0.14627257
186,0.14387234
187,0.14247471
188,0.14818232
189,0.14888595
190,0.14630568
191,0.14302292
192,0.14970721
193,0.14933898
194,0.14187047
195,0.13855806
196,0.14360811
197,0.14152867
198,0.14497197
199,0.14034034
200,0.14097464
201,0.14341271
202,0.13172223
203,0.1423118
204,0.1393908
205,0.14229389
206,0.14347313
207,0.1425981
208,0.14259988
209,0.14709803
210,0.13504753
211,0.13936703
212,0.13426
213,0.13205466
214,0.15321128
215,0.14352287
216,0.14196746
217,0.13817303
218,0.14021496
219,0.14083534
220,0.15051383
221,0.15308145
222,0.14281067
223,0.14565435
224,0.13755175
225,0.13844211
226,0.13670781
227,0.14687778
228,0.13673204
229,0.13613228
230,0.13526818
231,0.13592991
232,0.14798091
233,0.14558783
234,0.14170867
235,0.14087516
236,0.13986182
237,0.13946028
238,0.13770178
239,0.13765734
240,0.13698536
241,0.14028765
242,0.14184351
243,0.1456876
244,0.14020406
245,0.1354584
246,0.13554116
247,0.1465059
248,0.13937616
249,0.14033853
250,0.15155855
251,0.1418543
252,0.13505696
253,0.13909057
254,0.14226879
255,0.13463919
256,0.1421487
257,0.14592536
258,0.13765179
259,0.14172846
260,0.14286777
261,0.14194053
262,0.14152147
263,0.14047651
264,0.14261597
265,0.14283566
266,0.14484002
267,0.15299317
268,0.16017248
269,0.15480521
270,0.1552623
271,0.16328382
272,0.15185931
273,0.15561654
274,0.15282147
275,0.16750069
276,0.15637802
277,0.16652845
278,0.1535885
279,0.15413192
280,0.15321295
281,0.15263954
282,0.15271467
283,0.15607943
284,0.16018361
285,0.16185853
286,0.1611087
287,0.15812065
288,0.16907299
289,0.15361504
290,0.16128582
291,0.16065238
292,0.15664023
293,0.15354866
294,0.15720716
295,0.15790126
296,0.15821251
297,0.1542212
298,0.14631091
299,0.155551
300,0.15455636
301,0.1585714
302,0.15993677
303,0.16285396
304,0.1611625
305,0.17551333
306,0.1656721
307,0.15790287
