,RMSD_6eqe_PET-tetramer_1
0,0.0
1,0.11081059
2,0.119965345
3,0.1347101
4,0.12055232
5,0.12961541
6,0.13217132
7,0.12608495
8,0.13400899
9,0.12657681
10,0.13355008
11,0.12776318
12,0.13210548
13,0.13981114
14,0.14049746
15,0.14921904
16,0.14484067
17,0.14705798
18,0.15392534
19,0.14552717
20,0.16187462
21,0.17058
22,0.15586536
23,0.16540755
24,0.16903576
25,0.1603783
26,0.14462085
27,0.15676852
28,0.16966248
29,0.14939882
30,0.15763023
31,0.14960332
32,0.1656508
33,0.16110969
34,0.15459241
35,0.14525536
36,0.14136869
37,0.14156547
38,0.14850776
39,0.15461491
40,0.16173482
41,0.15772797
42,0.16005872
43,0.155082
44,0.15418349
45,0.16514738
46,0.15441062
47,0.16063227
48,0.15494892
49,0.16907105
50,0.1545908
51,0.16288792
52,0.15840569
53,0.161344
54,0.17146797
55,0.17583495
56,0.17940886
57,0.16803883
58,0.17023578
59,0.17395906
60,0.1723831
61,0.18167491
62,0.18210126
63,0.17798036
64,0.16529481
65,0.17960964
66,0.1746663
67,0.17962624
68,0.1731987
69,0.17859657
70,0.18112135
71,0.18979125
72,0.18653779
73,0.18199341
74,0.18665235
75,0.18159828
76,0.17818832
77,0.18629113
78,0.17351414
79,0.1817734
80,0.1818062
81,0.17847405
82,0.1847383
83,0.18484052
84,0.17906912
85,0.1835532
86,0.17779593
87,0.18706602
88,0.19252048
89,0.18421957
90,0.194648
91,0.19486623
92,0.20246056
93,0.20374551
94,0.21212365
95,0.20546928
96,0.21011515
97,0.20492905
98,0.21226187
99,0.21260235
100,0.21798569
101,0.21563326
102,0.22552668
103,0.21926127
104,0.21108764
105,0.21363449
106,0.2152837
107,0.21441722
108,0.22172321
109,0.2160455
110,0.22496831
111,0.21946523
112,0.22127998
113,0.21866079
114,0.21433605
115,0.2158625
116,0.22583835
117,0.21531834
118,0.21280217
119,0.2133737
120,0.21822613
121,0.22414924
122,0.21769473
123,0.2218745
124,0.21638922
125,0.21635476
126,0.21965654
127,0.21559636
128,0.22185434
129,0.21620882
130,0.22527635
131,0.22304209
132,0.21278349
133,0.21286406
134,0.2127975
135,0.22204807
136,0.21820904
137,0.22061175
138,0.22132602
139,0.22125864
140,0.22071539
141,0.20986068
142,0.22694393
143,0.21427226
144,0.20319214
145,0.20804787
146,0.2198737
147,0.21110414
148,0.20358197
149,0.21825118
150,0.22313121
151,0.21145117
152,0.21285005
153,0.20602739
154,0.1933
155,0.19350947
156,0.18645115
157,0.18459967
158,0.18900122
159,0.19446914
160,0.19440651
161,0.1867056
162,0.19140697
163,0.1950409
164,0.18767224
165,0.1812064
166,0.17749932
167,0.18315601
168,0.18143398
169,0.18067342
170,0.18405625
171,0.17420608
172,0.1742446
173,0.17880242
174,0.18233316
175,0.18938483
176,0.18358299
177,0.17975903
178,0.17204249
179,0.17719099
180,0.1781437
181,0.18967989
182,0.17718679
183,0.18334863
184,0.18847972
185,0.18531726
186,0.18265186
187,0.18313159
188,0.18592653
189,0.18592519
190,0.19171578
191,0.19855827
192,0.19101961
193,0.18070368
194,0.18391441
195,0.18523142
196,0.19345552
197,0.18955405
198,0.18908799
199,0.18407515
200,0.19185963
201,0.19008568
202,0.19870467
203,0.17970648
204,0.17996217
205,0.18500316
206,0.18924303
207,0.19749516
208,0.1964592
209,0.18567637
210,0.19447298
211,0.18141341
212,0.19250628
213,0.18851268
214,0.1818964
215,0.18717228
216,0.18144219
217,0.17287983
218,0.17528565
219,0.1830094
220,0.19448575
221,0.18888414
222,0.19463268
223,0.19487643
224,0.20419881
225,0.22705342
226,0.2244263
227,0.21236488
228,0.22491196
229,0.2176365
230,0.23526083
231,0.23347597
232,0.22638686
233,0.22799835
234,0.22636381
235,0.22880147
236,0.22525539
237,0.22189243
238,0.22688477
239,0.21796288
240,0.22156285
241,0.23128437
242,0.22295068
243,0.22029833
244,0.23009488
245,0.22344068
246,0.2271924
247,0.22342731
248,0.222085
249,0.22791004
250,0.22345957
251,0.22437978
252,0.22915208
253,0.21923293
254,0.23195077
255,0.2278555
256,0.2242734
257,0.22907506
258,0.22858845
259,0.23113602
260,0.23127362
261,0.22690777
262,0.23151316
263,0.2335941
264,0.22024529
265,0.22139676
266,0.23204613
267,0.23276481
268,0.22524987
269,0.22917052
270,0.22107883
271,0.22162567
272,0.22425567
273,0.21603975
274,0.22191146
275,0.23352599
276,0.23045108
277,0.22097987
278,0.22920956
279,0.23358986
280,0.22531828
281,0.23257145
282,0.22847208
283,0.22434433
284,0.21592698
285,0.22909242
286,0.22504786
287,0.23121558
288,0.21994264
289,0.21746169
290,0.22990252
291,0.2283513
292,0.23021583
293,0.22320805
294,0.23788008
295,0.2180803
296,0.22411376
297,0.22755969
298,0.22600777
299,0.222283
300,0.2343579
301,0.2289839
302,0.22808883
303,0.2128769
304,0.21611106
305,0.21852547
306,0.22429335
307,0.22523001
308,0.2221678
309,0.2210316
310,0.22385965
311,0.22421134
312,0.22327486
313,0.23137784
314,0.21858007
315,0.23364411
316,0.2301856
317,0.23490451
318,0.21676336
319,0.21712081
320,0.23147881
321,0.22187114
322,0.21444504
323,0.21279399
324,0.2215707
325,0.21123242
326,0.22192267
327,0.21470566
328,0.2278086
329,0.21135478
330,0.21480867
331,0.21461883
332,0.20699628
333,0.2078913
334,0.20518844
335,0.22743623
336,0.2298874
337,0.22107658
338,0.22535908
339,0.22572386
340,0.21594079
341,0.21764678
342,0.21747197
343,0.21772899
344,0.22412597
345,0.21998557
346,0.22754112
347,0.22590767
348,0.22300084
349,0.2144972
350,0.22288267
351,0.22667544
352,0.23131661
353,0.2268004
354,0.22313233
355,0.22318245
356,0.23337908
357,0.23320541
358,0.22625507
359,0.22069399
360,0.2282642
361,0.22800925
362,0.22899258
363,0.22977275
364,0.22088762
365,0.22322032
366,0.23442683
367,0.23833314
368,0.23578954
369,0.22466539
370,0.23426136
371,0.23353557
372,0.22527856
373,0.23134668
374,0.24260916
375,0.23934466
376,0.24778202
377,0.24655418
378,0.24042845
379,0.25108233
380,0.24467802
381,0.26140207
382,0.25803533
383,0.24771781
384,0.25700837
385,0.2658961
386,0.25014213
387,0.23905267
388,0.24013467
389,0.2300495
390,0.2365515
391,0.24806574
392,0.24823502
393,0.2637204
394,0.27194172
395,0.2753551
396,0.2549187
397,0.25176644
398,0.2668218
399,0.2645081
400,0.27286693
401,0.260626
402,0.2552724
403,0.24282318
404,0.23836233
405,0.24505156
406,0.23699974
407,0.25018287
408,0.23415524
409,0.22780749
410,0.22821084
411,0.24481817
412,0.24721059
413,0.24340083
414,0.23998868
415,0.2399773
416,0.24935791
417,0.24344064
418,0.23717271
419,0.24178304
420,0.24729002
421,0.24349986
422,0.24406266
423,0.2486372
424,0.24687254
425,0.24229649
426,0.24962291
427,0.24690978
428,0.25566253
429,0.23311374
430,0.24112318
431,0.24821499
432,0.24225236
433,0.24773587
434,0.25552636
435,0.2459415
436,0.2575764
437,0.25995564
438,0.26512098
439,0.26162922
440,0.27391335
441,0.25802281
442,0.26303715
443,0.26499346
444,0.25921166
445,0.25873274
446,0.2617973
447,0.27512932
448,0.27717873
449,0.27284965
450,0.27340204
451,0.26746655
452,0.2649306
453,0.2672834
454,0.26759014
455,0.2623436
456,0.26833588
457,0.2689576
458,0.26416206
459,0.26265985
460,0.27045792
461,0.25797462
462,0.25296605
463,0.2548514
464,0.25515452
465,0.25901118
